Card Member,Age,Annual Income,Spending Score (1-100)
1,19.0,0.015,39.0
1,21.0,0.015,81.0
0,20.0,0.016,6.0
0,23.0,0.016,77.0
0,31.0,0.017,40.0
0,22.0,0.017,76.0
0,35.0,0.018,6.0
0,23.0,0.018,94.0
1,64.0,0.019,3.0
0,30.0,0.019,72.0
1,67.0,0.019,14.0
0,35.0,0.019,99.0
0,58.0,0.02,15.0
0,24.0,0.02,77.0
1,37.0,0.02,13.0
1,22.0,0.02,79.0
0,35.0,0.021,35.0
1,20.0,0.021,66.0
1,52.0,0.023,29.0
0,35.0,0.023,98.0
1,35.0,0.024,35.0
1,25.0,0.024,73.0
0,46.0,0.025,5.0
1,31.0,0.025,73.0
0,54.0,0.028,14.0
1,29.0,0.028,82.0
0,45.0,0.028,32.0
1,35.0,0.028,61.0
0,40.0,0.029,31.0
0,23.0,0.029,87.0
1,60.0,0.03,4.0
0,21.0,0.03,73.0
1,53.0,0.033,4.0
1,18.0,0.033,92.0
0,49.0,0.033,14.0
0,21.0,0.033,81.0
0,42.0,0.034,17.0
0,30.0,0.034,73.0
0,36.0,0.037,26.0
0,20.0,0.037,75.0
0,65.0,0.038,35.0
1,24.0,0.038,92.0
1,48.0,0.039,36.0
0,31.0,0.039,61.0
0,49.0,0.039,28.0
0,24.0,0.039,65.0
0,50.0,0.04,55.0
0,27.0,0.04,47.0
0,29.0,0.04,42.0
0,31.0,0.04,42.0
0,49.0,0.042,52.0
1,33.0,0.042,60.0
0,31.0,0.043,54.0
1,59.0,0.043,60.0
0,50.0,0.043,45.0
1,47.0,0.043,41.0
0,51.0,0.044,50.0
1,69.0,0.044,46.0
0,27.0,0.046,51.0
1,53.0,0.046,46.0
1,70.0,0.046,56.0
1,19.0,0.046,55.0
0,67.0,0.047,52.0
0,54.0,0.047,59.0
1,63.0,0.048,51.0
1,18.0,0.048,59.0
0,43.0,0.048,50.0
0,68.0,0.048,48.0
1,19.0,0.048,59.0
0,32.0,0.048,47.0
1,70.0,0.049,55.0
0,47.0,0.049,42.0
0,60.0,0.05,49.0
0,60.0,0.05,56.0
1,59.0,0.054,47.0
1,26.0,0.054,54.0
0,45.0,0.054,53.0
1,40.0,0.054,48.0
0,23.0,0.054,52.0
0,49.0,0.054,42.0
1,57.0,0.054,51.0
1,38.0,0.054,55.0
1,67.0,0.054,41.0
0,46.0,0.054,44.0
0,21.0,0.054,57.0
1,48.0,0.054,46.0
0,55.0,0.057,58.0
0,22.0,0.057,55.0
0,34.0,0.058,60.0
0,50.0,0.058,46.0
0,68.0,0.059,55.0
1,18.0,0.059,41.0
1,48.0,0.06,49.0
0,40.0,0.06,40.0
0,32.0,0.06,42.0
1,24.0,0.06,52.0
0,47.0,0.06,47.0
0,27.0,0.06,50.0
1,48.0,0.061,42.0
1,20.0,0.061,49.0
0,23.0,0.062,41.0
0,49.0,0.062,48.0
1,67.0,0.062,59.0
1,26.0,0.062,55.0
1,49.0,0.062,56.0
0,21.0,0.062,42.0
0,66.0,0.063,50.0
1,54.0,0.063,46.0
1,68.0,0.063,43.0
1,66.0,0.063,48.0
1,65.0,0.063,52.0
0,19.0,0.063,54.0
0,38.0,0.064,42.0
1,19.0,0.064,46.0
0,18.0,0.065,48.0
0,19.0,0.065,50.0
0,63.0,0.065,43.0
0,49.0,0.065,59.0
0,51.0,0.067,43.0
0,50.0,0.067,57.0
1,27.0,0.067,56.0
0,38.0,0.067,40.0
0,40.0,0.069,58.0
1,39.0,0.069,91.0
0,23.0,0.07,29.0
0,31.0,0.07,77.0
1,43.0,0.071,35.0
1,40.0,0.071,95.0
1,59.0,0.071,11.0
1,38.0,0.071,75.0
1,47.0,0.071,9.0
1,39.0,0.071,75.0
0,25.0,0.072,34.0
0,31.0,0.072,71.0
1,20.0,0.073,5.0
0,29.0,0.073,88.0
0,44.0,0.073,7.0
